,Ticker,Price Score,Market Capitalization Score,Price to Earnings Ratio (TTM) Score,Basic EPS (TTM) Score,Number of Employees Score,Free Cash Flow (Annual YoY Growth) Score,Free Cash Flow Margin (FY) Score,Free Cash Flow (Quarterly YoY Growth) Score,3-Month Performance Score,Basic EPS (FY) Score,EPS Diluted (TTM) Score,EBITDA (TTM) Score,Gross Profit (MRQ) Score,Gross Profit (FY) Score,Total Revenue (FY) Score,EPS Diluted (FY) Score,Last Year Revenue (FY) Score,Net Income (FY) Score,Current Ratio (MRQ) Score,Debt to Equity Ratio (MRQ) Score,Net Debt (MRQ) Score,Quick Ratio (MRQ) Score,Total Assets (MRQ) Score,Total Debt (MRQ) Score,Total Current Assets (MRQ) Score,Dividend Yield Forward Score,Dividends Paid (FY) Score,Dividends per Share (FY) Score,Gross Margin (TTM) Score,Operating Margin (TTM) Score,Pretax Margin (TTM) Score,Net Margin (TTM) Score,6-Month Performance Score,YTD Performance Score,Yearly Performance Score,1-Year Beta Score,Volatility Score,Price to Revenue Ratio (TTM) Score,Enterprise Value/EBITDA (TTM) Score,Enterprise Value (MRQ) Score,Total Shares Outstanding Score
0,AAPL,0.2745952536861833,1.0,0.1998186998082885,0.3341075315126858,0.7765723662744949,0.19843507463512727,0.7836742573130133,0.45179648485143264,0.12266276976072887,0.2963681492682092,0.3308611566523438,1.0,1.0,1.0,1.0,0.286223305750252,1.0,1.0,0.10117734038927143,0.7957881686450781,1.0,0.14373459664704713,1.0,1.0,1.0,0.047550862990782566,0.0,0.1804511278195489,0.44909218977575605,0.7037487448879399,0.8167345029132136,0.8528099702437157,0.19323469442352173,0.5732149294573913,0.3031422932214738,0.5468486983375382,0.2450915069936385,0.40529891526781014,0.3170376671063295,1.0,1.0
1,MSFT,0.4997403301194482,1.0,0.2418694682957558,0.4450998638744261,1.0,0.1910581876267789,0.8751754268028732,0.3289471126910252,0.3702564170131637,0.4410145216969558,0.4432124569732476,1.0,1.0,1.0,1.0,0.4242871766020457,1.0,1.0,0.3791634393049562,0.483291208919187,0.0,0.45270792135697524,1.0,1.0,1.0,0.14794716883947512,0.0,0.4972431077694236,0.8038432666782989,0.9050178928353458,0.9835048195593321,0.9982576271322624,0.1728152523258969,0.2372243257500989,0.23611037139616856,0.500837930292825,0.3144922550017062,0.6379308327105789,0.328718215637432,1.0,1.0
2,GOOG,0.1728724004786958,1.0,0.15809180427482802,0.29353134349019816,0.740585954743489,0.2693537001622325,0.7391658018055923,0.3830563595488918,0.3485038272192529,0.27759957938840135,0.28685537572164505,1.0,1.0,1.0,1.0,0.2665596161810325,1.0,1.0,0.5340946466353655,0.43900528389341986,0.0,0.622271437121494,1.0,0.4490157903445546,1.0,,1.0,0.0,0.6283367651522679,0.6485091036917761,0.7809724180424025,0.8257944077728578,0.11374655996928462,0.5486728311195511,0.1685718263960349,0.513099339479077,0.4990822262973187,0.33471908618586177,0.18721664830760434,1.0,1.0
3,AMZN,0.178743197778129,1.0,1.0,0.14069385589146868,1.0,0.0,0.1587850413851866,0.4859023383958573,0.2213243672955117,0.17989297228120654,0.13610051360150427,1.0,1.0,1.0,1.0,0.17393750439532102,1.0,1.0,0.1163025627635573,0.5726361576010877,1.0,0.09308607904525229,1.0,1.0,1.0,,1.0,0.0,0.4453055675482718,0.1637900664475045,0.358095541822385,0.4194776657405984,0.0,0.8406912739383126,0.11985891314854835,0.7778508843468208,0.49707148476765217,0.11749992253602004,0.3991519109820214,1.0,1.0
4,BRK.A,1.0,1.0,,0.0,1.0,0.15533838598584934,0.4096489034675167,0.3896512839003552,0.3670173577085243,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9384490961791103,0.46025601550639494,0.3180283892585635,0.9389676859137124,1.0,1.0,1.0,,1.0,0.0,0.11088560857273597,0.3920872266409314,0.3047927926430181,0.3686009587507598,0.4602366418483119,0.1857108617617408,0.4781689664061807,0.28721642929455166,0.002241086153821098,0.1345063882103743,0.1906021756919901,1.0,0.0
5,TSLA,0.32801950911102584,1.0,0.5549342179746606,0.23633168495773954,0.4660816075849759,0.3225482647806801,0.405439760068412,0.6879828951924445,0.0,0.12163908101256535,0.21953162029230994,0.8028665916653354,0.6313811740571249,0.41099870345161704,0.420176158163351,0.11110199488970673,0.420176158163351,0.4754556433876265,0.2552382646490088,0.4428846597351632,0.0,0.2013965804987782,0.22133662656958578,0.08619817802527134,0.6083340204666308,,1.0,0.0,0.21073194585525887,0.4381152120984653,0.5944224244819354,0.657842221187735,0.0,1.0,0.0,1.0,1.0,0.5749305994694176,0.7026841831776888,1.0,1.0
6,V,0.46900896425587646,1.0,0.3040387262080373,0.3746491113384143,0.1168214882060534,0.20469730086394664,1.0,0.403091041384047,0.5069159152628321,0.33158214357038923,0.3660323701038858,1.0,0.7314876913365946,0.7037479975514462,0.2232052767079293,0.3149784726943123,0.2232052767079293,1.0,0.24920375889098115,0.5017116951159459,0.1021051952973382,0.3184175459731182,0.25555929927290166,0.3121743850332709,0.4656851479207932,0.07931095306987085,0.27138307552320295,0.30075187969924816,0.9357183615274641,1.0,1.0,1.0,0.5513059502387486,0.5632861191575974,0.5187042268425474,0.39382111879221554,0.10473544615473054,1.0,0.42471646166862187,1.0,0.7829265772365418
7,NVDA,0.38437916318558496,1.0,0.9171241490386847,0.18941450621793934,0.09749918430800529,0.3020340309715204,0.8225510555573755,0.20305941645625333,1.0,0.20476285575712122,0.18511410345068724,0.47056724818066603,0.3595402004102888,0.5353287823618519,0.20395254419998696,0.19768005188432297,0.20395254419998696,0.809380304557541,0.764035138873747,0.5010607535909309,0.04159250505381665,0.7013811555789561,0.11537466450361226,0.17703402555589404,0.38435195727726795,0.0,0.9092356687898089,0.03208020050125314,0.6564934799076718,0.6551740576557036,0.6534487590260196,0.7690531822867279,0.47087679023451534,1.0,0.31244111183181,1.0,1.0,1.0,1.0,1.0,0.9395846601822903
8,XOM,0.20811976426490844,1.0,0.03404487926409873,0.5698085782183699,0.29195535765694874,1.0,0.4769837933214288,0.6169750542901191,0.31746509661171635,0.2651850161193689,0.5706415745266085,1.0,1.0,1.0,1.0,0.2579486939059362,1.0,1.0,0.22309315536329535,0.456090493195488,0.34111658968128084,0.19331381338731443,1.0,0.6978633317920826,1.0,0.5904859471955499,0.0,0.699749373433584,0.1886606274510337,0.4075271642272409,0.6198973547593645,0.6267504323734746,0.7219290223305181,0.3590543338087608,1.0,0.11450625144101345,0.24880033084195105,0.05310341787087746,0.010803853983545858,1.0,1.0
9,UNH,1.0,1.0,0.1887160503224978,,,0.1941267173224913,0.3648708242011577,0.0,0.019615196993548023,,0.9168097654216426,,,,1.0,0.8748368847527289,1.0,1.0,0.07333505237315968,0.5177746455572431,0.6111441708345201,,0.7561076472749272,0.8864474585602038,1.0,0.20439901721507125,0.0,1.0,,0.2828092474617687,0.457933594507699,0.49375909093014464,0.21871750806765952,0.0,0.5365473386393295,0.03299962457626604,0.24495944283357293,0.0665741925197916,,1.0,0.34292021424606073
10,JNJ,0.3174972339512724,1.0,0.21182283482289102,,,,,,0.14161529210986729,,0.3555971685871685,,1.0,1.0,0.7505903320893064,0.3105128265235159,0.7505903320893064,1.0,0.24732387156393135,0.4837896650228575,0.029563204754272425,,0.5357381132841653,0.4906295570631289,1.0,0.49093248011112905,,0.8922305764411028,0.8880610054657857,0.6179892024933378,0.6975288531121293,0.7320708054047724,0.2771436530731616,0.0,0.40784634689145105,0.0,0.8089043608441693,0.31050613138254246,,,1.0
11,JPM,0.26585679770587306,1.0,0.0590886058982491,0.563271474386089,,,,,0.5068935962324258,0.5387659614357854,0.5633843308805817,,,,1.0,0.5195308532001843,1.0,1.0,0.26576442127276423,0.6874626643916342,1.0,,1.0,1.0,1.0,0.5262564801612033,,0.8020050125313284,,0.6890291449490862,0.8031330214245254,0.8253162980358819,0.7617863510949789,0.339845888245301,0.4284485165876647,0.4188365402850676,0.0,0.15812978356751428,,1.0,1.0
12,META,0.2837627294691445,1.0,0.09163621447427922,0.5043183338845009,0.33499510584803177,0.28704079763685003,0.8813531332219514,0.22894820479397798,1.0,0.6155438809571357,0.5016200592079192,1.0,1.0,1.0,0.9352912124847832,0.585394250529392,0.9352912124847832,1.0,0.5480501994511123,0.4529591234825689,0.0,0.6519545541161487,0.5475088893165986,0.40486591892815554,1.0000000000000002,,1.0,0.0,0.9772450723844167,0.6930731539831586,0.8125584639355925,0.8359026799638004,0.21826005288680053,0.9111306335977583,0.0,0.5233580464253744,0.49645994998423015,0.21801058069765034,0.08438394179341113,1.0,1.0
13,WMT,0.27267595456906096,1.0,0.4327850992840233,0.2228383335768725,1.0,0.04894752782331281,0.2596565707705059,1.0,0.28152418360861453,0.2451203756159392,0.21950442505380768,1.0,1.0,1.0,1.0,0.2378278909491549,1.0,1.0,0.09728485624110605,0.5386227848740784,1.0,0.0,0.7621991019272554,1.0,1.0,0.24865812155659994,0.0,0.44110275689223066,0.1788236163979722,0.1811422058424276,0.3607872219062434,0.40518359493687434,0.5076369494404197,0.23287391027713042,0.527157095850526,0.13564370979100304,0.08127711236420146,0.008997061657112122,0.2068284045842507,1.0,1.0
14,MA,0.7896899767426108,1.0,0.34471725568845013,0.4921977743084128,,0.20746327375718818,1.0,0.403653946153485,0.551929547148925,0.46362239512220965,0.49098283591947095,0.6656317901609937,,,0.16637114606157033,0.4466740117364839,0.16637114606157033,0.8234386275680057,0.17846536252608183,0.7364672261938507,0.17746683918306733,,0.10986706532026681,0.21221474621169362,0.26826444164133045,0.043052587873573966,0.5671064604185623,0.4090225563909775,,1.0,1.0,1.0,0.4819340294596465,0.4472606034430858,0.5128951238524937,0.41315826091636204,0.039459040270914986,1.0,0.5416541881751261,1.0,0.3536571558524525
15,CVX,0.34504482127938224,1.0,0.03874242058318278,0.8029947626262237,,0.30292171264111556,0.5378139304763018,0.420890725038051,0.1783695880305199,0.7938840139062671,0.8030287725623353,1.0,1.0,1.0,1.0,0.7615743453901873,1.0,1.0,0.2378064286529554,0.4432861854500663,0.1667008900565346,,0.7935867972731577,0.35627786429056335,0.8804914377343198,0.6373441385967256,0.0,1.0,0.13255186418394335,0.4481890948856408,0.6670564238536795,0.6588242175847657,0.5377700399879181,0.16929953594655445,0.8894545290188497,0.10993049039702207,0.5120725186772233,0.06925968129141372,0.01622064160472092,1.0,0.7337313570592341
