S&P500 Position,Ticker,Funds Allocated,Percentage Allocated,Sector,Aggregated Score,Market Capitalization Score,Gross Profit (MRQ) Score,Total Current Assets (MRQ) Score,EBITDA (TTM) Score
54,T,9713.65,1.9427299999999998,Communications,0.7290241231768076,0.5649347458014609,1.0,0.5577727056619198,1.0
36,TMUS,9504.12,1.9008240000000003,Communications,0.7132985434121346,0.7366195614384281,1.0,0.3528432406258937,1.0
31,CSCO,9346.79,1.869358,Electronic Technology,0.7014906293574161,0.8033340027032733,1.0,0.6109831386260726,0.7986303415112171
28,COST,9321.8,1.86436,Retail Trade,0.69961480631542,0.9138631033102164,0.7899242543790438,0.5760533753449555,0.5105653310311776
61,DE,9258.52,1.8517040000000002,Producer Manufacturing,0.6948655607788501,0.4850114502340507,0.5492741044658357,0.7166320760840771,0.5663754638755492
29,TMO,9213.59,1.842718,Health Technology,0.6914935078217522,0.9050657225323336,0.5005769685971281,0.3155099727895215,0.6215452333245307
66,LOW,9035.95,1.8071900000000003,Retail Trade,0.6781614136709982,0.4703642676829418,0.876099692283415,0.4153694467202689,0.6416920509179534
154,F,8996.91,1.799382,Consumer Durables,0.6752312218242795,0.1624816176092127,0.3936898374625217,1.0,0.6104127619892898
49,UPS,8908.75,1.78175,Transportation,0.6686153805734918,0.6059748985101215,0.588355097049077,0.408474721974172,0.8369043690664482
52,QCOM,8850.0,1.77,Electronic Technology,0.6642056416309203,0.5819207566739272,0.7726645100205145,0.3405099289299493,0.8248852407222057
11,JPM,8812.26,1.7624520000000001,Finance,0.6613732144396459,1.0,,1.0,
22,KO,8789.75,1.7579500000000001,Consumer Non-Durables,0.6596841230497225,1.0,0.7775958655515229,0.4004221045226236,0.6134175440753504
50,COP,8658.31,1.7316619999999998,Energy Minerals,0.6498190277732525,0.5934512860814948,0.9695488795960236,0.3357555513060504,1.0
48,BMY,8608.96,1.7217919999999998,Health Technology,0.6461152588107221,0.6064128309093407,0.7145977986428911,0.4470360578314775,0.9914782409690412
147,VLO,8497.36,1.699472,Energy Minerals,0.6377396325085263,0.1722184479876087,0.5428633422755248,0.4003168415494008,0.9695581093576154
10,JNJ,8352.6,1.67052,Health Technology,0.6268750897201243,1.0,1.0,1.0,
67,GS,8244.64,1.648928,Finance,0.6187722264687465,0.4657762224178058,,1.0,
5,TSLA,8115.06,1.6230120000000001,Consumer Durables,0.6090476788055366,1.0,0.6313811740571249,0.6083340204666308,0.8028665916653354
73,INTC,7996.52,1.599304,Electronic Technology,0.6001506066979293,0.4420329793028591,0.6459286728735996,0.8612634012922784,0.7844930880899157
32,DIS,7918.07,1.5836139999999999,Consumer Services,0.5942628357097977,0.7965476088218916,0.488248579769607,0.4542641153261135,0.5966203196270444
140,BN,7902.49,1.580498,Finance,0.5930937363867398,0.1866518902914514,0.4019970507306095,,0.9096561072126936
244,BNTX,7846.74,1.569348,Health Technology,0.588909564923924,0.0881741365639155,0.3040139685659051,0.3412198482107926,0.7380751183699421
58,AMGN,7832.39,1.566478,Health Technology,0.5878324586244037,0.5235873863384817,0.5836703092946189,0.3990712296995971,0.6425294492042327
30,MCD,7809.82,1.561964,Consumer Services,0.5861385234505498,0.8047079035433816,0.3882900031560675,0.0776472321978382,0.6031273968986609
9,UNH,7773.86,1.5547719999999998,Health Services,0.5834396719701594,1.0,,1.0,
16,LLY,7773.44,1.5546879999999998,Health Technology,0.5834086932415727,1.0,0.6289771382357583,0.2864030063105153,0.5093486405799367
